Export DJU 02/12/2021;;;;;;;;;;;;;
;;;;;;;;;;;;;
Station météo;;ORLY;;;;;;;;;;;
Usage;;Chauffage;;;;;;;;;;;
Méthode de calcul;;Météo;;;;;;;;;;;
Température de référence;;18°C;;;;;;;;;;;
Date de début;;01/01/09;;;;;;;;;;;
Date de fin;;06/15/21;;;;;;;;;;;
;;;;;;;;;;;;;
Résultats;;;;;;;;;;;;;
;;;;;;;;;;;;;
;JAN;FÉV;MAR;AVR;MAI;JUN;JUI;AOÛ;SEP;OCT;NOV;DÉC;Total
2021;417;"311,6";296;"256,1";154;"2,4";0;0;0;0;0;0;1437
2020;"356,2";"260,9";"283,1";"99,6";82;"27,2";"1,9";"4,3";"37,3";165;"245,8";"351,9";"1914,9"
2019;"428,6";296;"265,4";195;"140,9";"31,3";0;"2,2";"32,8";"138,8";"295,9";"344,6";"2171,3"
2018;"322,3";"456,9";"332,4";"142,8";"74,4";"12,6";0;7;"52,1";"137,1";"298,2";"349,7";"2185,1"
2017;"498,8";301;"234,4";"229,1";"88,7";"12,5";2;"13,4";"84,9";"126,9";"311,1";"394,2";"2296,7"
2016;"389,3";"347,5";"346,3";"247,9";"116,4";"34,6";"10,5";"6,7";"21,9";"204,4";"310,6";426;"2461,9"
2015;"422,7";"392,8";"307,4";"180,5";"121,2";"26,3";"11,5";"9,1";99;"205,8";"216,1";"269,3";"2261,6"
2014;"344,5";"295,6";270;"167,3";"125,1";"31,2";"12,4";"32,8";"30,6";"109,9";"242,2";"397,6";"2058,9"
2013;"453,5";"427,5";"400,5";"237,1";"183,3";"56,3";"2,5";"12,1";"57,3";"122,4";"323,9";"381,8";"2657,8"
2012;"365,4";"466,9";"241,2";257;"96,8";"48,8";"24,1";3;"83,5";"164,7";"317,8";"370,3";"2439,3"
2011;"417,5";"331,9";"275,7";"113,9";"66,4";"41,6";"27,7";"21,6";"33,8";"151,7";"252,8";"340,3";"2074,7"
2010;"533,4";"388,7";"322,1";"201,5";"160,2";33;"0,5";"24,7";"75,8";"198,4";"331,3";"542,3";"2811,5"
2009;"513,2";"393,7";"325,8";"158,9";"103,9";"52,9";"6,1";"2,7";"42,1";"180,4";"238,5";"440,2";"2458,1"
